ride_name,wait_time
Alice in Wonderland,20
Astro Orbitor,25
Autopia,10
Big Thunder Mountain Railroad,40
Buzz Lightyear Astro Blasters,25
Casey Jr. Circus Train,20
Chip 'n' Dale's GADGETcoaster,15
Dumbo the Flying Elephant,25
Finding Nemo Submarine Voyage,25
Haunted Mansion,60
Indiana Jones Adventure,40
Jungle Cruise,10
Mad Tea Party,5
Mickey's House and Meet Mickey Mouse,15
Millennium Falcon: Smugglers Run,30
Mr. Toad's Wild Ride,15
Peter Pan's Flight,35
Pinocchio's Daring Journey,15
Pirates of the Caribbean,30
Roger Rabbit's Car Toon Spin,35
Snow White's Enchanted Wish,15
Space Mountain,50
Star Wars: Rise of the Resistance,80
Storybook Land Canal Boats,15
The Many Adventures of Winnie the Pooh,20
Tiana's Bayou Adventure,25
Alice in Wonderland,20
Astro Orbitor,25
Autopia,10
Big Thunder Mountain Railroad,40
Buzz Lightyear Astro Blasters,25
Casey Jr. Circus Train,20
Chip 'n' Dale's GADGETcoaster,15
Dumbo the Flying Elephant,25
Finding Nemo Submarine Voyage,25
Haunted Mansion,60
Indiana Jones Adventure,40
Jungle Cruise,10
Mad Tea Party,5
Mickey's House and Meet Mickey Mouse,15
Millennium Falcon: Smugglers Run,30
Mr. Toad's Wild Ride,15
Peter Pan's Flight,35
Pinocchio's Daring Journey,15
Pirates of the Caribbean,30
Roger Rabbit's Car Toon Spin,35
Snow White's Enchanted Wish,15
Space Mountain,50
Star Wars: Rise of the Resistance,80
Storybook Land Canal Boats,15
The Many Adventures of Winnie the Pooh,20
Tiana's Bayou Adventure,25
