Ride,Date/Time,Wait Time
Matterhorn Bobsleds,1/1/2024 8:05,10
Matterhorn Bobsleds,1/1/2024 8:10,10
Matterhorn Bobsleds,1/1/2024 8:15,10
Matterhorn Bobsleds,1/1/2024 8:20,10
Matterhorn Bobsleds,1/1/2024 8:25,10
Matterhorn Bobsleds,1/1/2024 8:30,5
Matterhorn Bobsleds,1/1/2024 8:35,5
Matterhorn Bobsleds,1/1/2024 8:40,5
Matterhorn Bobsleds,1/1/2024 8:45,5
Matterhorn Bobsleds,1/1/2024 8:50,5
Matterhorn Bobsleds,1/1/2024 8:55,5
Matterhorn Bobsleds,1/1/2024 9:00,5
Matterhorn Bobsleds,1/1/2024 9:05,5
Matterhorn Bobsleds,1/1/2024 9:10,5
Matterhorn Bobsleds,1/1/2024 9:15,5
Matterhorn Bobsleds,1/1/2024 9:20,5
Matterhorn Bobsleds,1/1/2024 9:25,5
Matterhorn Bobsleds,1/1/2024 9:30,5
Matterhorn Bobsleds,1/1/2024 9:35,5
Matterhorn Bobsleds,1/1/2024 9:40,30
Matterhorn Bobsleds,1/1/2024 9:45,45
Matterhorn Bobsleds,1/1/2024 9:50,45
Matterhorn Bobsleds,1/1/2024 9:55,45
Matterhorn Bobsleds,1/1/2024 10:00,45
Matterhorn Bobsleds,1/1/2024 10:05,30
Matterhorn Bobsleds,1/1/2024 10:10,30
Matterhorn Bobsleds,1/1/2024 10:15,30
Matterhorn Bobsleds,1/1/2024 10:20,30
Matterhorn Bobsleds,1/1/2024 10:25,30
Matterhorn Bobsleds,1/1/2024 10:30,30
Matterhorn Bobsleds,1/1/2024 10:35,30
Matterhorn Bobsleds,1/1/2024 10:40,30
Matterhorn Bobsleds,1/1/2024 10:45,30
Matterhorn Bobsleds,1/1/2024 10:50,30
Matterhorn Bobsleds,1/1/2024 10:55,30
Matterhorn Bobsleds,1/1/2024 11:00,30
Matterhorn Bobsleds,1/1/2024 11:05,30
Matterhorn Bobsleds,1/1/2024 11:10,30
Matterhorn Bobsleds,1/1/2024 11:15,30
Matterhorn Bobsleds,1/1/2024 11:20,60
Matterhorn Bobsleds,1/1/2024 11:25,60
Matterhorn Bobsleds,1/1/2024 11:30,60
Matterhorn Bobsleds,1/1/2024 11:35,60
Matterhorn Bobsleds,1/1/2024 11:40,60
Matterhorn Bobsleds,1/1/2024 11:45,60
Matterhorn Bobsleds,1/1/2024 11:50,60
Matterhorn Bobsleds,1/1/2024 11:55,60
Matterhorn Bobsleds,1/1/2024 12:00,60
Matterhorn Bobsleds,1/1/2024 12:05,45
Matterhorn Bobsleds,1/1/2024 12:10,45
Matterhorn Bobsleds,1/1/2024 12:15,45
Matterhorn Bobsleds,1/1/2024 12:20,45
Matterhorn Bobsleds,1/1/2024 12:25,45
Matterhorn Bobsleds,1/1/2024 12:30,45
Matterhorn Bobsleds,1/1/2024 12:35,45
Matterhorn Bobsleds,1/1/2024 12:40,45
Matterhorn Bobsleds,1/1/2024 12:45,45
Matterhorn Bobsleds,1/1/2024 12:50,45
Matterhorn Bobsleds,1/1/2024 12:55,45
Matterhorn Bobsleds,1/1/2024 13:00,45
Matterhorn Bobsleds,1/1/2024 13:05,45
Matterhorn Bobsleds,1/1/2024 13:10,45
Matterhorn Bobsleds,1/1/2024 13:15,45
Matterhorn Bobsleds,1/1/2024 15:20,45
Matterhorn Bobsleds,1/1/2024 15:25,45
Matterhorn Bobsleds,1/1/2024 15:30,45
Matterhorn Bobsleds,1/1/2024 15:35,35
Matterhorn Bobsleds,1/1/2024 15:40,35
Matterhorn Bobsleds,1/1/2024 15:45,35
Matterhorn Bobsleds,1/1/2024 15:50,35
Matterhorn Bobsleds,1/1/2024 15:55,35
Matterhorn Bobsleds,1/1/2024 16:00,45
Matterhorn Bobsleds,1/1/2024 16:05,65
Matterhorn Bobsleds,1/1/2024 16:10,65
Matterhorn Bobsleds,1/1/2024 16:15,65
Matterhorn Bobsleds,1/1/2024 16:20,65
Matterhorn Bobsleds,1/1/2024 16:25,65
Matterhorn Bobsleds,1/1/2024 16:30,65
Matterhorn Bobsleds,1/1/2024 16:35,65
Matterhorn Bobsleds,1/1/2024 16:40,65
Matterhorn Bobsleds,1/1/2024 16:45,65
Matterhorn Bobsleds,1/1/2024 16:50,65
Matterhorn Bobsleds,1/1/2024 16:55,65
Matterhorn Bobsleds,1/1/2024 17:00,65
Matterhorn Bobsleds,1/1/2024 17:05,65
Matterhorn Bobsleds,1/1/2024 17:10,65
Matterhorn Bobsleds,1/1/2024 17:15,65
Matterhorn Bobsleds,1/1/2024 17:20,65
Matterhorn Bobsleds,1/1/2024 17:25,65
Matterhorn Bobsleds,1/1/2024 17:30,65
Matterhorn Bobsleds,1/1/2024 17:35,65
Matterhorn Bobsleds,1/1/2024 17:40,40
Matterhorn Bobsleds,1/1/2024 17:45,40
Matterhorn Bobsleds,1/1/2024 17:50,40
Matterhorn Bobsleds,1/1/2024 17:55,40
Matterhorn Bobsleds,1/1/2024 18:00,40
Matterhorn Bobsleds,1/1/2024 18:05,40
Matterhorn Bobsleds,1/1/2024 18:10,40
Matterhorn Bobsleds,1/1/2024 18:15,40
Matterhorn Bobsleds,1/1/2024 18:20,40
Matterhorn Bobsleds,1/1/2024 18:25,40
Matterhorn Bobsleds,1/1/2024 18:30,40
Matterhorn Bobsleds,1/1/2024 18:35,40
Matterhorn Bobsleds,1/1/2024 18:40,40
Matterhorn Bobsleds,1/1/2024 18:45,40
Matterhorn Bobsleds,1/1/2024 18:50,40
Matterhorn Bobsleds,1/1/2024 18:55,45
Matterhorn Bobsleds,1/1/2024 19:00,40
Matterhorn Bobsleds,1/1/2024 19:05,40
Matterhorn Bobsleds,1/1/2024 19:10,40
Matterhorn Bobsleds,1/1/2024 19:15,40
Matterhorn Bobsleds,1/1/2024 19:20,40
Matterhorn Bobsleds,1/1/2024 19:25,40
Matterhorn Bobsleds,1/1/2024 19:30,40
