Park,Date/Time,Wait Time
Disneyland,4/1/2024 8:05,7
Disneyland,4/1/2024 8:10,8
Disneyland,4/1/2024 8:15,11
Disneyland,4/1/2024 8:20,11
Disneyland,4/1/2024 8:25,14
Disneyland,4/1/2024 8:30,15
Disneyland,4/1/2024 8:35,15
Disneyland,4/1/2024 8:40,16
Disneyland,4/1/2024 8:45,18
Disneyland,4/1/2024 8:50,19
Disneyland,4/1/2024 8:55,22
Disneyland,4/1/2024 9:00,22
Disneyland,4/1/2024 9:05,23
Disneyland,4/1/2024 9:10,24
Disneyland,4/1/2024 9:15,23
Disneyland,4/1/2024 9:20,23
Disneyland,4/1/2024 9:25,24
Disneyland,4/1/2024 9:30,24
Disneyland,4/1/2024 9:35,24
Disneyland,4/1/2024 9:40,23
Disneyland,4/1/2024 9:45,24
Disneyland,4/1/2024 9:50,27
Disneyland,4/1/2024 9:55,29
Disneyland,4/1/2024 10:00,30
Disneyland,4/1/2024 10:05,30
Disneyland,4/1/2024 10:10,30
Disneyland,4/1/2024 10:15,32
Disneyland,4/1/2024 10:20,31
Disneyland,4/1/2024 10:25,31
Disneyland,4/1/2024 10:30,34
Disneyland,4/1/2024 10:35,34
Disneyland,4/1/2024 10:40,34
Disneyland,4/1/2024 10:45,38
Disneyland,4/1/2024 10:50,39
Disneyland,4/1/2024 10:55,39
Disneyland,4/1/2024 11:00,40
Disneyland,4/1/2024 11:05,41
Disneyland,4/1/2024 11:10,41
Disneyland,4/1/2024 11:15,39
Disneyland,4/1/2024 11:20,39
Disneyland,4/1/2024 11:25,38
Disneyland,4/1/2024 11:30,39
Disneyland,4/1/2024 11:35,39
Disneyland,4/1/2024 11:40,39
Disneyland,4/1/2024 11:45,38
Disneyland,4/1/2024 11:50,36
Disneyland,4/1/2024 11:55,37
Disneyland,4/1/2024 12:00,39
Disneyland,4/1/2024 12:05,40
Disneyland,4/1/2024 12:10,40
Disneyland,4/1/2024 12:15,43
Disneyland,4/1/2024 12:20,42
Disneyland,4/1/2024 12:25,41
Disneyland,4/1/2024 12:30,41
Disneyland,4/1/2024 12:35,40
Disneyland,4/1/2024 12:40,39
Disneyland,4/1/2024 12:45,39
Disneyland,4/1/2024 12:50,38
Disneyland,4/1/2024 12:55,38
Disneyland,4/1/2024 13:00,40
Disneyland,4/1/2024 13:05,41
Disneyland,4/1/2024 13:10,40
Disneyland,4/1/2024 13:15,39
Disneyland,4/1/2024 13:20,39
Disneyland,4/1/2024 13:25,40
Disneyland,4/1/2024 13:30,40
Disneyland,4/1/2024 13:35,39
Disneyland,4/1/2024 13:40,39
Disneyland,4/1/2024 13:45,38
Disneyland,4/1/2024 13:50,37
Disneyland,4/1/2024 13:55,37
Disneyland,4/1/2024 14:00,38
Disneyland,4/1/2024 14:05,40
Disneyland,4/1/2024 14:10,39
Disneyland,4/1/2024 14:15,39
Disneyland,4/1/2024 14:20,42
