Ride,Date/Time,Wait Time
Space Mountain,2/1/2024 7:40,5
Space Mountain,2/1/2024 7:45,5
Space Mountain,2/1/2024 7:50,5
Space Mountain,2/1/2024 7:55,5
Space Mountain,2/1/2024 8:00,5
Space Mountain,2/1/2024 8:05,5
Space Mountain,2/1/2024 8:10,5
Space Mountain,2/1/2024 8:15,5
Space Mountain,2/1/2024 8:20,5
Space Mountain,2/1/2024 8:25,5
Space Mountain,2/1/2024 8:30,5
Space Mountain,2/1/2024 8:35,5
Space Mountain,2/1/2024 8:40,5
Space Mountain,2/1/2024 8:45,5
Space Mountain,2/1/2024 8:50,5
Space Mountain,2/1/2024 8:55,5
Space Mountain,2/1/2024 9:00,5
Space Mountain,2/1/2024 9:05,5
Space Mountain,2/1/2024 9:10,5
Space Mountain,2/1/2024 9:15,5
Space Mountain,2/1/2024 9:20,5
Space Mountain,2/1/2024 9:25,5
Space Mountain,2/1/2024 9:30,5
Space Mountain,2/1/2024 9:35,5
Space Mountain,2/1/2024 9:40,5
Space Mountain,2/1/2024 9:45,5
Space Mountain,2/1/2024 9:50,5
Space Mountain,2/1/2024 9:55,5
Space Mountain,2/1/2024 10:00,5
Space Mountain,2/1/2024 10:05,25
Space Mountain,2/1/2024 10:10,20
Space Mountain,2/1/2024 10:15,30
Space Mountain,2/1/2024 10:20,30
Space Mountain,2/1/2024 10:25,40
Space Mountain,2/1/2024 10:30,40
Space Mountain,2/1/2024 10:35,40
Space Mountain,2/1/2024 10:40,40
Space Mountain,2/1/2024 10:45,40
Space Mountain,2/1/2024 10:50,40
Space Mountain,2/1/2024 10:55,40
Space Mountain,2/1/2024 11:00,40
Space Mountain,2/1/2024 11:05,40
Space Mountain,2/1/2024 11:10,40
Space Mountain,2/1/2024 11:15,40
Space Mountain,2/1/2024 11:20,40
Space Mountain,2/1/2024 11:25,40
Space Mountain,2/1/2024 11:30,35
Space Mountain,2/1/2024 11:35,35
Space Mountain,2/1/2024 11:40,35
Space Mountain,2/1/2024 11:45,35
Space Mountain,2/1/2024 11:50,50
Space Mountain,2/1/2024 11:55,50
Space Mountain,2/1/2024 12:00,50
Space Mountain,2/1/2024 12:05,50
Space Mountain,2/1/2024 12:10,50
Space Mountain,2/1/2024 12:15,50
Space Mountain,2/1/2024 12:20,50
Space Mountain,2/1/2024 12:25,50
Space Mountain,2/1/2024 12:30,50
Space Mountain,2/1/2024 12:35,50
Space Mountain,2/1/2024 12:40,50
Space Mountain,2/1/2024 12:45,40
Space Mountain,2/1/2024 12:50,40
Space Mountain,2/1/2024 12:55,20
Space Mountain,2/1/2024 13:00,20
Space Mountain,2/1/2024 13:05,20
Space Mountain,2/1/2024 13:10,30
Space Mountain,2/1/2024 13:15,30
Space Mountain,2/1/2024 13:20,30
Space Mountain,2/1/2024 13:25,30
Space Mountain,2/1/2024 13:30,35
Space Mountain,2/1/2024 13:35,35
Space Mountain,2/1/2024 13:40,45
Space Mountain,2/1/2024 13:45,45
Space Mountain,2/1/2024 13:50,45
Space Mountain,2/1/2024 13:55,45
Space Mountain,2/1/2024 14:00,45
Space Mountain,2/1/2024 14:05,45
Space Mountain,2/1/2024 14:10,45
Space Mountain,2/1/2024 14:15,40
Space Mountain,2/1/2024 14:20,40
Space Mountain,2/1/2024 14:25,40
Space Mountain,2/1/2024 14:30,40
Space Mountain,2/1/2024 14:35,40
Space Mountain,2/1/2024 14:40,40
Space Mountain,2/1/2024 14:45,40
Space Mountain,2/1/2024 14:50,40
Space Mountain,2/1/2024 14:55,40
Space Mountain,2/1/2024 15:00,40
Space Mountain,2/1/2024 15:05,40
Space Mountain,2/1/2024 15:10,40
Space Mountain,2/1/2024 15:15,40
Space Mountain,2/1/2024 15:20,15
Space Mountain,2/1/2024 15:25,15
Space Mountain,2/1/2024 15:30,25
Space Mountain,2/1/2024 15:35,25
Space Mountain,2/1/2024 15:40,25
Space Mountain,2/1/2024 15:45,45
Space Mountain,2/1/2024 15:50,45
Space Mountain,2/1/2024 15:55,45
Space Mountain,2/1/2024 16:00,45
Space Mountain,2/1/2024 16:05,45
Space Mountain,2/1/2024 16:10,45
Space Mountain,2/1/2024 16:15,45
Space Mountain,2/1/2024 16:20,45
Space Mountain,2/1/2024 17:20,45
Space Mountain,2/1/2024 17:25,45
Space Mountain,2/1/2024 17:30,35
Space Mountain,2/1/2024 17:35,35
Space Mountain,2/1/2024 17:40,35
Space Mountain,2/1/2024 17:45,35
Space Mountain,2/1/2024 17:50,35
Space Mountain,2/1/2024 17:55,35
Space Mountain,2/1/2024 18:00,35
Space Mountain,2/1/2024 18:05,35
Space Mountain,2/1/2024 18:10,35
Space Mountain,2/1/2024 18:15,45
Space Mountain,2/1/2024 18:20,55
Space Mountain,2/1/2024 18:25,55
Space Mountain,2/1/2024 18:30,55
Space Mountain,2/1/2024 18:35,55
Space Mountain,2/1/2024 18:40,55
Space Mountain,2/1/2024 18:45,60
Space Mountain,2/1/2024 18:50,60
Space Mountain,2/1/2024 18:55,60
Space Mountain,2/1/2024 19:00,50
Space Mountain,2/1/2024 19:05,50
Space Mountain,2/1/2024 19:10,50
Space Mountain,2/1/2024 19:15,50
Space Mountain,2/1/2024 19:20,50
Space Mountain,2/1/2024 19:25,50
Space Mountain,2/1/2024 19:30,50
Space Mountain,2/1/2024 19:35,50
Space Mountain,2/1/2024 19:40,50
Space Mountain,2/1/2024 19:45,50
Space Mountain,2/1/2024 19:50,50
Space Mountain,2/1/2024 19:55,50
Space Mountain,2/1/2024 20:00,30
Space Mountain,2/1/2024 20:05,30
Space Mountain,2/1/2024 20:10,30
Space Mountain,2/1/2024 20:15,30
Space Mountain,2/1/2024 20:20,30
Space Mountain,2/1/2024 20:25,30
Space Mountain,2/1/2024 20:30,30
Space Mountain,2/1/2024 20:35,30
Space Mountain,2/1/2024 20:40,30
Space Mountain,2/1/2024 20:45,30
Space Mountain,2/1/2024 20:50,15
Space Mountain,2/1/2024 20:55,15
Space Mountain,2/1/2024 21:00,15
Space Mountain,2/1/2024 21:05,25
Space Mountain,2/1/2024 21:10,35
Space Mountain,2/1/2024 21:15,40
Space Mountain,2/1/2024 21:20,45
Space Mountain,2/1/2024 21:25,40
Space Mountain,2/1/2024 21:30,40
Space Mountain,2/1/2024 21:35,35
Space Mountain,2/1/2024 21:40,35
Space Mountain,2/1/2024 21:45,35
Space Mountain,2/1/2024 21:50,35
Space Mountain,2/1/2024 21:55,45
Space Mountain,2/1/2024 22:00,45
Space Mountain,2/1/2024 22:05,60
Space Mountain,2/1/2024 22:10,60
Space Mountain,2/1/2024 22:15,60
Space Mountain,2/1/2024 22:20,60
Space Mountain,2/1/2024 22:25,60
Space Mountain,2/1/2024 22:30,60
Space Mountain,2/1/2024 22:35,60
Space Mountain,2/1/2024 22:40,60
Space Mountain,2/1/2024 22:45,60
Space Mountain,2/1/2024 22:50,15
Space Mountain,2/1/2024 22:55,15
Space Mountain,2/1/2024 23:00,25
Space Mountain,2/1/2024 23:05,25
Space Mountain,2/1/2024 23:10,25
Space Mountain,2/1/2024 23:15,35
Space Mountain,2/1/2024 23:20,35
Space Mountain,2/1/2024 23:25,35
Space Mountain,2/1/2024 23:30,35
Space Mountain,2/1/2024 23:35,35
Space Mountain,2/1/2024 23:40,35
Space Mountain,2/1/2024 23:45,35
Space Mountain,2/1/2024 23:50,35
Space Mountain,2/1/2024 23:55,35
Space Mountain,2/2/2024 0:00,35
Space Mountain,2/2/2024 0:05,35
Space Mountain,2/2/2024 0:10,35
Space Mountain,2/2/2024 0:15,35
Space Mountain,2/2/2024 0:20,35
Space Mountain,2/2/2024 0:25,35
Space Mountain,2/2/2024 0:30,35
Space Mountain,2/2/2024 0:35,35
Space Mountain,2/2/2024 0:40,35
Space Mountain,2/2/2024 0:45,35
Space Mountain,2/2/2024 0:50,35
Space Mountain,2/2/2024 0:55,35
Space Mountain,2/2/2024 8:05,10
Space Mountain,2/2/2024 8:10,10
Space Mountain,2/2/2024 8:15,10
Space Mountain,2/2/2024 8:20,10
Space Mountain,2/2/2024 8:25,35
Space Mountain,2/2/2024 8:30,35
Space Mountain,2/2/2024 8:35,35
Space Mountain,2/2/2024 8:40,35
Space Mountain,2/2/2024 8:45,25
Space Mountain,2/2/2024 8:50,25
Space Mountain,2/2/2024 8:55,25
Space Mountain,2/2/2024 9:00,25
Space Mountain,2/2/2024 9:05,25
Space Mountain,2/2/2024 9:10,25
Space Mountain,2/2/2024 12:20,25
Space Mountain,2/2/2024 12:25,25
Space Mountain,2/2/2024 12:30,45
Space Mountain,2/2/2024 12:35,45
Space Mountain,2/2/2024 12:40,65
Space Mountain,2/2/2024 12:45,65
Space Mountain,2/2/2024 12:50,65
Space Mountain,2/2/2024 12:55,65
Space Mountain,2/2/2024 13:00,65
Space Mountain,2/2/2024 13:05,35
Space Mountain,2/2/2024 13:10,35
Space Mountain,2/2/2024 13:15,55
Space Mountain,2/2/2024 13:20,55
Space Mountain,2/2/2024 13:25,55
Space Mountain,2/2/2024 13:30,55
Space Mountain,2/2/2024 13:35,55
Space Mountain,2/2/2024 13:40,45
Space Mountain,2/2/2024 13:45,45
Space Mountain,2/2/2024 13:50,45
Space Mountain,2/2/2024 13:55,45
Space Mountain,2/2/2024 14:00,45
Space Mountain,2/2/2024 14:05,45
Space Mountain,2/2/2024 14:10,45
Space Mountain,2/2/2024 14:15,45
Space Mountain,2/2/2024 14:20,55
Space Mountain,2/2/2024 14:25,55
Space Mountain,2/2/2024 14:30,55
Space Mountain,2/2/2024 14:35,55
Space Mountain,2/2/2024 14:40,55
Space Mountain,2/2/2024 14:45,65
Space Mountain,2/2/2024 14:50,65
Space Mountain,2/2/2024 14:55,65
Space Mountain,2/2/2024 15:00,60
Space Mountain,2/2/2024 15:05,55
Space Mountain,2/2/2024 15:10,55
Space Mountain,2/2/2024 15:15,55
Space Mountain,2/2/2024 15:20,55
Space Mountain,2/2/2024 15:25,55
Space Mountain,2/2/2024 15:30,45
Space Mountain,2/2/2024 15:35,45
Space Mountain,2/2/2024 15:40,45
Space Mountain,2/2/2024 15:45,45
Space Mountain,2/2/2024 15:50,35
Space Mountain,2/2/2024 15:55,35
Space Mountain,2/2/2024 16:00,60
Space Mountain,2/2/2024 16:05,60
Space Mountain,2/2/2024 16:10,60
Space Mountain,2/2/2024 16:15,60
Space Mountain,2/2/2024 16:20,60
Space Mountain,2/2/2024 16:25,60
Space Mountain,2/2/2024 16:30,75
Space Mountain,2/2/2024 16:35,95
Space Mountain,2/2/2024 16:40,95
Space Mountain,2/2/2024 16:45,75
Space Mountain,2/2/2024 16:50,75
Space Mountain,2/2/2024 18:15,15
Space Mountain,2/2/2024 18:20,25
Space Mountain,2/2/2024 18:25,40
Space Mountain,2/2/2024 18:30,45
Space Mountain,2/2/2024 18:35,55
Space Mountain,2/2/2024 18:40,55
Space Mountain,2/2/2024 18:45,65
Space Mountain,2/2/2024 18:50,75
Space Mountain,2/2/2024 18:55,75
Space Mountain,2/2/2024 19:00,75
Space Mountain,2/2/2024 19:05,75
Space Mountain,2/2/2024 19:10,75
Space Mountain,2/2/2024 19:15,75
Space Mountain,2/2/2024 19:20,75
Space Mountain,2/2/2024 19:25,75
Space Mountain,2/2/2024 19:30,75
Space Mountain,2/2/2024 19:35,75
Space Mountain,2/2/2024 19:40,65
Space Mountain,2/2/2024 19:45,65
Space Mountain,2/2/2024 19:50,65
Space Mountain,2/2/2024 19:55,65
Space Mountain,2/2/2024 20:00,65
Space Mountain,2/2/2024 20:05,65
Space Mountain,2/2/2024 20:10,65
Space Mountain,2/2/2024 20:15,65
Space Mountain,2/2/2024 20:20,65
Space Mountain,2/2/2024 20:25,65
Space Mountain,2/2/2024 20:30,65
Space Mountain,2/2/2024 20:35,65
Space Mountain,2/2/2024 20:40,65
Space Mountain,2/2/2024 20:45,50
Space Mountain,2/2/2024 20:50,50
Space Mountain,2/2/2024 20:55,50
Space Mountain,2/2/2024 21:00,50
Space Mountain,2/2/2024 21:05,50
Space Mountain,2/2/2024 21:10,40
Space Mountain,2/2/2024 21:15,40
Space Mountain,2/2/2024 21:20,40
Space Mountain,2/2/2024 21:25,40
Space Mountain,2/2/2024 21:30,40
Space Mountain,2/2/2024 21:35,40
Space Mountain,2/2/2024 21:40,50
Space Mountain,2/2/2024 21:45,50
Space Mountain,2/2/2024 21:50,65
Space Mountain,2/2/2024 21:55,65
Space Mountain,2/2/2024 22:00,65
Space Mountain,2/2/2024 22:05,65
Space Mountain,2/2/2024 22:10,65
Space Mountain,2/2/2024 22:15,65
Space Mountain,2/2/2024 22:20,65
Space Mountain,2/2/2024 22:25,65
Space Mountain,2/2/2024 22:30,65
Space Mountain,2/2/2024 22:35,65
Space Mountain,2/2/2024 22:40,40
Space Mountain,2/2/2024 22:45,40
Space Mountain,2/2/2024 22:50,40
Space Mountain,2/2/2024 22:55,40
Space Mountain,2/2/2024 23:00,50
Space Mountain,2/2/2024 23:05,50
Space Mountain,2/2/2024 23:10,50
Space Mountain,2/2/2024 23:15,50
Space Mountain,2/2/2024 23:20,50
Space Mountain,2/2/2024 23:25,40
Space Mountain,2/2/2024 23:30,40
Space Mountain,2/3/2024 13:05,10
Space Mountain,2/3/2024 13:10,30
Space Mountain,2/3/2024 13:15,30
Space Mountain,2/3/2024 13:20,30
Space Mountain,2/3/2024 13:25,45
Space Mountain,2/3/2024 13:30,60
Space Mountain,2/3/2024 13:35,60
Space Mountain,2/3/2024 13:40,60
Space Mountain,2/3/2024 13:45,60
Space Mountain,2/3/2024 13:50,60
Space Mountain,2/3/2024 13:55,65
Space Mountain,2/3/2024 14:00,55
Space Mountain,2/3/2024 14:05,55
Space Mountain,2/3/2024 14:10,55
Space Mountain,2/3/2024 14:15,55
Space Mountain,2/3/2024 14:20,55
Space Mountain,2/3/2024 14:25,55
Space Mountain,2/3/2024 14:30,55
Space Mountain,2/3/2024 14:35,55
Space Mountain,2/3/2024 14:40,55
Space Mountain,2/3/2024 14:45,55
Space Mountain,2/3/2024 14:50,55
Space Mountain,2/3/2024 14:55,50
Space Mountain,2/3/2024 15:00,50
Space Mountain,2/3/2024 15:05,50
Space Mountain,2/3/2024 15:10,45
Space Mountain,2/3/2024 15:15,45
Space Mountain,2/3/2024 15:20,45
Space Mountain,2/3/2024 15:25,45
Space Mountain,2/3/2024 15:30,45
Space Mountain,2/3/2024 15:35,55
Space Mountain,2/3/2024 15:40,55
Space Mountain,2/3/2024 15:45,65
Space Mountain,2/3/2024 15:50,65
Space Mountain,2/3/2024 15:55,80
Space Mountain,2/3/2024 16:00,80
Space Mountain,2/3/2024 16:05,80
Space Mountain,2/3/2024 16:10,80
Space Mountain,2/3/2024 16:15,70
Space Mountain,2/3/2024 16:20,70
Space Mountain,2/3/2024 16:25,70
Space Mountain,2/3/2024 16:30,70
Space Mountain,2/3/2024 16:35,70
Space Mountain,2/3/2024 16:40,70
Space Mountain,2/3/2024 16:45,70
Space Mountain,2/3/2024 16:50,70
Space Mountain,2/3/2024 16:55,60
Space Mountain,2/3/2024 17:00,60
Space Mountain,2/3/2024 17:05,60
Space Mountain,2/3/2024 17:10,60
Space Mountain,2/3/2024 17:15,60
Space Mountain,2/3/2024 17:20,60
Space Mountain,2/3/2024 17:25,65
Space Mountain,2/3/2024 17:30,80
Space Mountain,2/3/2024 17:40,80
Space Mountain,2/3/2024 17:45,80
Space Mountain,2/3/2024 17:50,80
Space Mountain,2/3/2024 17:55,60
Space Mountain,2/3/2024 18:00,60
Space Mountain,2/3/2024 18:05,60
Space Mountain,2/3/2024 18:10,50
Space Mountain,2/3/2024 18:15,50
Space Mountain,2/3/2024 18:20,50
Space Mountain,2/3/2024 18:25,50
Space Mountain,2/3/2024 18:30,50
Space Mountain,2/3/2024 18:35,50
Space Mountain,2/3/2024 18:40,50
Space Mountain,2/3/2024 18:45,50
Space Mountain,2/3/2024 18:50,50
Space Mountain,2/3/2024 18:55,65
Space Mountain,2/3/2024 19:00,65
Space Mountain,2/3/2024 19:05,80
Space Mountain,2/3/2024 19:10,80
Space Mountain,2/3/2024 19:15,80
Space Mountain,2/3/2024 19:20,70
Space Mountain,2/3/2024 19:25,70
Space Mountain,2/3/2024 19:30,70
Space Mountain,2/3/2024 19:35,60
Space Mountain,2/3/2024 19:40,60
Space Mountain,2/3/2024 19:45,50
Space Mountain,2/3/2024 19:50,50
Space Mountain,2/3/2024 19:55,50
Space Mountain,2/3/2024 20:00,50
Space Mountain,2/3/2024 20:05,50
Space Mountain,2/3/2024 20:10,50
Space Mountain,2/3/2024 20:15,50
Space Mountain,2/3/2024 20:20,50
Space Mountain,2/3/2024 20:25,50
Space Mountain,2/3/2024 20:30,50
Space Mountain,2/3/2024 20:35,50
Space Mountain,2/3/2024 20:40,50
Space Mountain,2/3/2024 20:45,50
Space Mountain,2/3/2024 20:50,50
Space Mountain,2/3/2024 20:55,65
Space Mountain,2/3/2024 21:00,65
Space Mountain,2/3/2024 21:05,65
Space Mountain,2/3/2024 21:10,65
Space Mountain,2/3/2024 21:15,65
Space Mountain,2/3/2024 21:20,65
Space Mountain,2/3/2024 21:25,65
Space Mountain,2/3/2024 21:30,65
Space Mountain,2/3/2024 21:35,55
Space Mountain,2/3/2024 21:40,55
Space Mountain,2/3/2024 21:45,55
Space Mountain,2/3/2024 21:50,50
Space Mountain,2/3/2024 21:55,50
Space Mountain,2/3/2024 22:00,50
Space Mountain,2/3/2024 22:05,50
Space Mountain,2/3/2024 22:10,50
Space Mountain,2/3/2024 22:15,50
Space Mountain,2/3/2024 22:20,50
Space Mountain,2/3/2024 22:25,50
Space Mountain,2/3/2024 22:30,45
Space Mountain,2/3/2024 22:35,45
Space Mountain,2/3/2024 22:40,45
Space Mountain,2/3/2024 22:45,45
Space Mountain,2/3/2024 22:50,45
Space Mountain,2/3/2024 22:55,45
Space Mountain,2/3/2024 23:00,45
Space Mountain,2/3/2024 23:05,45
Space Mountain,2/3/2024 23:10,45
Space Mountain,2/3/2024 23:15,45
Space Mountain,2/3/2024 23:20,45
Space Mountain,2/3/2024 23:25,45
Space Mountain,2/3/2024 23:30,30
Space Mountain,2/3/2024 23:35,30
Space Mountain,2/3/2024 23:40,30
Space Mountain,2/3/2024 23:45,30
Space Mountain,2/3/2024 23:50,30
Space Mountain,2/3/2024 23:55,30
Space Mountain,2/4/2024 0:00,30
Space Mountain,2/4/2024 8:05,5
Space Mountain,2/4/2024 8:10,5
Space Mountain,2/4/2024 8:15,15
Space Mountain,2/4/2024 8:20,35
Space Mountain,2/4/2024 8:25,45
Space Mountain,2/4/2024 8:30,45
Space Mountain,2/4/2024 8:35,40
Space Mountain,2/4/2024 8:40,40
Space Mountain,2/4/2024 8:45,40
Space Mountain,2/4/2024 8:50,40
Space Mountain,2/4/2024 8:55,20
Space Mountain,2/4/2024 9:00,20
Space Mountain,2/4/2024 9:05,15
Space Mountain,2/4/2024 9:10,15
Space Mountain,2/4/2024 9:15,15
Space Mountain,2/4/2024 9:20,25
Space Mountain,2/4/2024 9:25,25
Space Mountain,2/4/2024 9:30,25
Space Mountain,2/4/2024 9:35,35
Space Mountain,2/4/2024 9:40,55
Space Mountain,2/4/2024 9:45,55
Space Mountain,2/4/2024 9:50,40
Space Mountain,2/4/2024 9:55,40
Space Mountain,2/4/2024 10:00,40
Space Mountain,2/4/2024 10:05,40
Space Mountain,2/4/2024 10:10,40
Space Mountain,2/4/2024 10:15,40
Space Mountain,2/4/2024 10:20,40
Space Mountain,2/4/2024 10:25,40
Space Mountain,2/4/2024 10:30,40
Space Mountain,2/4/2024 10:35,45
Space Mountain,2/4/2024 10:40,45
Space Mountain,2/4/2024 10:45,45
Space Mountain,2/4/2024 10:50,45
Space Mountain,2/4/2024 10:55,45
Space Mountain,2/4/2024 11:00,45
Space Mountain,2/4/2024 11:05,45
Space Mountain,2/4/2024 11:10,45
Space Mountain,2/4/2024 11:15,45
Space Mountain,2/4/2024 11:20,35
Space Mountain,2/4/2024 11:25,35
Space Mountain,2/4/2024 11:30,35
Space Mountain,2/4/2024 11:35,45
Space Mountain,2/4/2024 11:40,55
Space Mountain,2/4/2024 11:45,55
Space Mountain,2/4/2024 11:50,55
Space Mountain,2/4/2024 11:55,45
Space Mountain,2/4/2024 12:00,35
Space Mountain,2/4/2024 12:05,35
Space Mountain,2/4/2024 12:10,30
Space Mountain,2/4/2024 12:15,30
Space Mountain,2/4/2024 12:20,30
Space Mountain,2/4/2024 12:25,30
Space Mountain,2/4/2024 12:30,30
Space Mountain,2/4/2024 12:35,55
Space Mountain,2/4/2024 12:40,55
Space Mountain,2/4/2024 12:45,55
Space Mountain,2/4/2024 12:50,55
Space Mountain,2/4/2024 12:55,55
Space Mountain,2/4/2024 13:00,55
Space Mountain,2/4/2024 13:05,55
Space Mountain,2/4/2024 13:10,45
Space Mountain,2/4/2024 13:15,45
Space Mountain,2/4/2024 13:20,45
Space Mountain,2/4/2024 13:25,35
Space Mountain,2/4/2024 13:30,65
Space Mountain,2/4/2024 13:35,65
Space Mountain,2/4/2024 13:40,70
