Ride,Date/Time,Wait Time
Space Mountain,3/1/2024 9:45,10
Space Mountain,3/1/2024 9:50,10
Space Mountain,3/1/2024 9:55,25
Space Mountain,3/1/2024 10:00,55
Space Mountain,3/1/2024 10:05,55
Space Mountain,3/1/2024 10:10,55
Space Mountain,3/1/2024 10:15,55
Space Mountain,3/1/2024 10:20,65
Space Mountain,3/1/2024 10:25,65
Space Mountain,3/1/2024 10:30,75
Space Mountain,3/1/2024 10:35,75
Space Mountain,3/1/2024 10:40,65
Space Mountain,3/1/2024 10:45,65
Space Mountain,3/1/2024 10:50,65
Space Mountain,3/1/2024 10:55,65
Space Mountain,3/1/2024 11:00,65
Space Mountain,3/1/2024 11:05,55
Space Mountain,3/1/2024 11:10,55
Space Mountain,3/1/2024 11:15,60
Space Mountain,3/1/2024 11:20,60
Space Mountain,3/1/2024 11:25,45
Space Mountain,3/1/2024 11:30,45
Space Mountain,3/1/2024 11:35,45
Space Mountain,3/1/2024 11:40,50
Space Mountain,3/1/2024 11:45,55
Space Mountain,3/1/2024 11:50,55
Space Mountain,3/1/2024 11:55,60
Space Mountain,3/1/2024 12:00,60
Space Mountain,3/1/2024 12:05,60
Space Mountain,3/1/2024 12:10,60
Space Mountain,3/1/2024 12:15,60
Space Mountain,3/1/2024 12:20,60
Space Mountain,3/1/2024 12:25,60
Space Mountain,3/1/2024 12:30,65
Space Mountain,3/1/2024 12:35,65
Space Mountain,3/1/2024 12:40,65
Space Mountain,3/1/2024 12:45,65
Space Mountain,3/1/2024 12:50,65
Space Mountain,3/1/2024 12:55,65
Space Mountain,3/1/2024 13:00,65
Space Mountain,3/1/2024 13:05,65
Space Mountain,3/1/2024 13:10,65
Space Mountain,3/1/2024 13:15,65
Space Mountain,3/1/2024 13:20,65
Space Mountain,3/1/2024 13:25,65
Space Mountain,3/1/2024 13:30,65
Space Mountain,3/1/2024 13:35,65
Space Mountain,3/1/2024 13:40,65
Space Mountain,3/1/2024 13:45,55
Space Mountain,3/1/2024 13:50,55
Space Mountain,3/1/2024 13:55,55
Space Mountain,3/1/2024 14:00,55
Space Mountain,3/1/2024 14:05,55
Space Mountain,3/1/2024 14:10,55
Space Mountain,3/1/2024 14:15,35
Space Mountain,3/1/2024 14:20,35
Space Mountain,3/1/2024 14:25,45
Space Mountain,3/1/2024 14:30,45
Space Mountain,3/1/2024 14:35,60
Space Mountain,3/1/2024 14:40,70
Space Mountain,3/1/2024 14:45,70
Space Mountain,3/1/2024 14:50,70
Space Mountain,3/1/2024 14:55,70
Space Mountain,3/1/2024 15:00,70
Space Mountain,3/1/2024 15:05,65
Space Mountain,3/1/2024 15:10,55
Space Mountain,3/1/2024 15:15,55
Space Mountain,3/1/2024 15:20,55
Space Mountain,3/1/2024 15:25,55
Space Mountain,3/1/2024 15:30,55
Space Mountain,3/1/2024 15:35,45
Space Mountain,3/1/2024 15:40,45
Space Mountain,3/1/2024 15:45,45
Space Mountain,3/1/2024 15:50,45
Space Mountain,3/1/2024 15:55,65
Space Mountain,3/1/2024 16:00,65
Space Mountain,3/1/2024 16:05,65
Space Mountain,3/1/2024 16:10,65
Space Mountain,3/1/2024 16:15,65
Space Mountain,3/1/2024 16:20,65
Space Mountain,3/1/2024 16:25,65
Space Mountain,3/1/2024 16:30,65
Space Mountain,3/1/2024 16:35,65
Space Mountain,3/1/2024 16:40,65
Space Mountain,3/1/2024 16:45,65
Space Mountain,3/1/2024 16:50,65
Space Mountain,3/1/2024 16:55,65
Space Mountain,3/1/2024 17:00,55
Space Mountain,3/1/2024 17:05,55
Space Mountain,3/1/2024 17:10,55
Space Mountain,3/1/2024 17:15,55
Space Mountain,3/1/2024 17:20,65
Space Mountain,3/1/2024 17:25,60
Space Mountain,3/1/2024 17:30,60
Space Mountain,3/1/2024 17:35,60
Space Mountain,3/1/2024 17:40,50
Space Mountain,3/1/2024 17:45,50
Space Mountain,3/1/2024 17:50,55
Space Mountain,3/1/2024 17:55,60
Space Mountain,3/1/2024 18:00,55
