ride_name,wait_time
Alice in Wonderland,30
Astro Orbitor,30
Autopia,30
Big Thunder Mountain Railroad,55
Buzz Lightyear Astro Blasters,35
Casey Jr. Circus Train,25
Chip 'n' Dale's GADGETcoaster,30
Dumbo the Flying Elephant,25
Finding Nemo Submarine Voyage,10
Haunted Mansion,55
Jungle Cruise,35
Mad Tea Party,15
Mickey's House and Meet Mickey Mouse,15
Millennium Falcon: Smugglers Run,30
Peter Pan's Flight,40
Pinocchio's Daring Journey,20
Pirates of the Caribbean,35
Roger Rabbit's Car Toon Spin,40
Snow White's Enchanted Wish,20
Space Mountain,40
Storybook Land Canal Boats,20
The Many Adventures of Winnie the Pooh,35
Tiana's Bayou Adventure,40
Indiana Jones Adventure,Closed
Mr. Toad's Wild Ride,Closed
Star Wars: Rise of the Resistance,Closed
