Ride,Date/Time,Wait Time
Matterhorn Bobsleds,2/1/2024 8:10,10
Matterhorn Bobsleds,2/1/2024 8:15,10
Matterhorn Bobsleds,2/1/2024 8:20,10
Matterhorn Bobsleds,2/1/2024 8:25,10
Matterhorn Bobsleds,2/1/2024 8:30,10
Matterhorn Bobsleds,2/1/2024 8:35,10
Matterhorn Bobsleds,2/1/2024 8:40,10
Matterhorn Bobsleds,2/1/2024 8:45,10
Matterhorn Bobsleds,2/1/2024 8:50,10
Matterhorn Bobsleds,2/1/2024 8:55,10
Matterhorn Bobsleds,2/1/2024 9:00,10
Matterhorn Bobsleds,2/1/2024 9:05,10
Matterhorn Bobsleds,2/1/2024 9:10,10
Matterhorn Bobsleds,2/1/2024 9:15,10
Matterhorn Bobsleds,2/1/2024 9:20,10
Matterhorn Bobsleds,2/1/2024 9:25,10
Matterhorn Bobsleds,2/1/2024 9:30,10
Matterhorn Bobsleds,2/1/2024 9:35,10
Matterhorn Bobsleds,2/1/2024 9:40,10
Matterhorn Bobsleds,2/1/2024 9:45,10
Matterhorn Bobsleds,2/1/2024 9:50,10
Matterhorn Bobsleds,2/1/2024 9:55,10
Matterhorn Bobsleds,2/1/2024 10:00,10
Matterhorn Bobsleds,2/1/2024 10:30,10
Matterhorn Bobsleds,2/1/2024 10:35,10
Matterhorn Bobsleds,2/1/2024 10:40,10
Matterhorn Bobsleds,2/1/2024 10:45,10
Matterhorn Bobsleds,2/1/2024 10:50,10
Matterhorn Bobsleds,2/1/2024 10:55,10
Matterhorn Bobsleds,2/1/2024 11:00,10
Matterhorn Bobsleds,2/1/2024 11:05,10
Matterhorn Bobsleds,2/1/2024 11:10,10
Matterhorn Bobsleds,2/1/2024 11:15,10
Matterhorn Bobsleds,2/1/2024 11:20,10
Matterhorn Bobsleds,2/1/2024 11:25,10
Matterhorn Bobsleds,2/1/2024 11:30,15
Matterhorn Bobsleds,2/1/2024 11:35,15
Matterhorn Bobsleds,2/1/2024 11:40,15
Matterhorn Bobsleds,2/1/2024 11:45,25
Matterhorn Bobsleds,2/1/2024 11:50,25
Matterhorn Bobsleds,2/1/2024 11:55,25
Matterhorn Bobsleds,2/1/2024 12:00,25
Matterhorn Bobsleds,2/1/2024 12:05,25
Matterhorn Bobsleds,2/1/2024 12:10,25
Matterhorn Bobsleds,2/1/2024 12:15,25
Matterhorn Bobsleds,2/1/2024 12:20,25
Matterhorn Bobsleds,2/1/2024 12:25,25
Matterhorn Bobsleds,2/1/2024 12:30,25
Matterhorn Bobsleds,2/1/2024 12:35,25
Matterhorn Bobsleds,2/1/2024 12:40,25
Matterhorn Bobsleds,2/1/2024 12:45,25
Matterhorn Bobsleds,2/1/2024 12:50,25
Matterhorn Bobsleds,2/1/2024 12:55,25
Matterhorn Bobsleds,2/1/2024 13:00,25
Matterhorn Bobsleds,2/1/2024 13:05,25
Matterhorn Bobsleds,2/1/2024 13:10,25
Matterhorn Bobsleds,2/1/2024 13:15,25
Matterhorn Bobsleds,2/1/2024 13:20,25
Matterhorn Bobsleds,2/1/2024 13:25,35
Matterhorn Bobsleds,2/1/2024 13:30,35
Matterhorn Bobsleds,2/1/2024 13:35,35
Matterhorn Bobsleds,2/1/2024 13:40,35
Matterhorn Bobsleds,2/1/2024 13:45,40
Matterhorn Bobsleds,2/1/2024 13:50,40
Matterhorn Bobsleds,2/1/2024 13:55,40
Matterhorn Bobsleds,2/1/2024 14:00,40
Matterhorn Bobsleds,2/1/2024 14:05,40
Matterhorn Bobsleds,2/1/2024 14:10,40
Matterhorn Bobsleds,2/1/2024 14:15,40
Matterhorn Bobsleds,2/1/2024 14:20,55
Matterhorn Bobsleds,2/1/2024 14:25,55
Matterhorn Bobsleds,2/1/2024 14:30,55
Matterhorn Bobsleds,2/1/2024 14:35,55
Matterhorn Bobsleds,2/1/2024 14:40,55
Matterhorn Bobsleds,2/1/2024 14:45,55
Matterhorn Bobsleds,2/1/2024 14:50,55
Matterhorn Bobsleds,2/1/2024 14:55,55
Matterhorn Bobsleds,2/1/2024 15:00,35
Matterhorn Bobsleds,2/1/2024 15:05,35
Matterhorn Bobsleds,2/1/2024 15:10,35
Matterhorn Bobsleds,2/1/2024 15:15,40
Matterhorn Bobsleds,2/1/2024 15:20,45
Matterhorn Bobsleds,2/1/2024 15:25,40
Matterhorn Bobsleds,2/1/2024 15:30,40
Matterhorn Bobsleds,2/1/2024 15:35,40
Matterhorn Bobsleds,2/1/2024 15:40,40
Matterhorn Bobsleds,2/1/2024 15:45,40
Matterhorn Bobsleds,2/1/2024 15:50,40
Matterhorn Bobsleds,2/1/2024 15:55,40
